d1,d2,d3,x,y,z,value,label,label_clean,Model,ROI_model
46,69,33,-2.051282212,-3.361046076,-1.719827652,-3.387,left Substantia Nigra_left,left_substantia_nigra_left,LMod3_AlcStr,left_substantia_nigra_left_LMod3_AlcStr
66,68,78,1.230769172,-3.524999559,5.650861934,-3.338,right Retosplenial Dysgranular Cortex,right_retosplenial_dysgranular_cortex,LMod3_AlcStr,right_retosplenial_dysgranular_cortex_LMod3_AlcStr
44,77,60,-2.379487351,-2.049418211,2.7025861,-2.97,left Dentate Gyrus_left,left_dentate_gyrus_left,LMod3_AlcStr,left_dentate_gyrus_left_LMod3_AlcStr
46,135,67,-2.051282212,7.459883809,3.849137813,-2.854,left Frontal Association Cortex_left,left_frontal_association_cortex_left,LMod3_AlcStr,left_frontal_association_cortex_left_LMod3_AlcStr
95,44,54,5.98974368,-7.459883153,1.719827488,-2.781,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_5,LMod3_AlcStr,right_molecular_layer_of_the_cerebellum_5_LMod3_AlcStr
57,152,68,-0.246153951,10.24709302,4.012930915,5.027,left Olfactory Bulb_left,left_olfactory_bulb_left,LMod5_AlcStr,left_olfactory_bulb_left_LMod5_AlcStr
33,34,43,-4.184615612,-9.099417984,-0.081896633,5.014,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left,LMod5_AlcStr,left_molecular_layer_of_the_cerebellum_left_LMod5_AlcStr
91,37,41,5.333333403,-8.607557535,-0.409482837,4.665,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum,LMod5_AlcStr,right_molecular_layer_of_the_cerebellum_LMod5_AlcStr
20,68,29,-6.317949012,-3.524999559,-2.37500006,4.56,left Lateral Entorhinal Cortex_left,left_lateral_entorhinal_cortex_left,LMod5_AlcStr,left_lateral_entorhinal_cortex_left_LMod5_AlcStr
64,52,45,0.902564034,-6.148255289,0.245689571,3.922,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_2,LMod5_AlcStr,right_molecular_layer_of_the_cerebellum_2_LMod5_AlcStr
53,115,49,-0.902564228,4.180814147,0.900861979,3.88,left Striatum_left,left_striatum_left,LMod5_AlcStr,left_striatum_left_LMod5_AlcStr
60,76,27,0.246153757,-2.213371694,-2.702586263,3.772,right Hypothalamic Region,right_hypothalamic_region,LMod5_AlcStr,right_hypothalamic_region_LMod5_AlcStr
55,15,41,-0.574359089,-12.21453416,-0.409482837,3.381,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left_2,LMod5_AlcStr,left_molecular_layer_of_the_cerebellum_left_2_LMod5_AlcStr
66,69,68,1.230769172,-3.361046076,4.012930915,3.354,right Retrosplenial Granular Cortex Part B,right_retrosplenial_granular_cortex_part_b,LMod5_AlcStr,right_retrosplenial_granular_cortex_part_b_LMod5_AlcStr
78,83,45,3.200000003,-1.065697312,0.245689571,3.169,right Thalamus ,right_thalamus,LMod5_AlcStr,right_thalamus_LMod5_AlcStr
33,113,52,-4.184615612,3.852907181,1.392241284,-6.38,left Dysgranular Insular Cortex_left,left_dysgranular_insular_cortex_left,LMod5_AlcStr,left_dysgranular_insular_cortex_left_LMod5_AlcStr
58,56,74,-0.082051381,-5.492441356,4.995689526,-5.516,left Retosplenial Dysgranular Cortex_left,left_retosplenial_dysgranular_cortex_left,LMod5_AlcStr,left_retosplenial_dysgranular_cortex_left_LMod5_AlcStr
66,125,52,1.230769172,5.820348978,1.392241284,-5.013,right PreLimbic System,right_pre_limbic_system,LMod5_AlcStr,right_pre_limbic_system_LMod5_AlcStr
49,93,26,-1.558974504,0.573837519,-2.866379365,-4.604,left Hypothalamic Region_left,left_hypothalamic_region_left,LMod5_AlcStr,left_hypothalamic_region_left_LMod5_AlcStr
78,103,56,3.200000003,2.21337235,2.047413692,-4.542,right Striatum,right_striatum,LMod5_AlcStr,right_striatum_LMod5_AlcStr
45,68,52,-2.215384781,-3.524999559,1.392241284,-4.534,left Dentate Gyrus_left,left_dentate_gyrus_left,LMod5_AlcStr,left_dentate_gyrus_left_LMod5_AlcStr
90,69,60,5.169230834,-3.361046076,2.7025861,-4.274,right Cornu Ammonis 1,right_cornu_ammonis_1,LMod5_AlcStr,right_cornu_ammonis_1_LMod5_AlcStr
