d1,d2,d3,x,y,z,value,label,label_clean,Model,ROI_model
83,83,65,4.02051284909248,-1.06569731235504,3.52155160903931,2.977,right Cornu Ammonis 1,right_cornu_ammonis_1,LMod1_Str,right_cornu_ammonis_1_LMod1_Str
31,63,36,-4.51282075047493,-4.34476697444916,-1.22844834625721,-8.256,left Perirhinal Area 36_left,left_perirhinal_area_36_left,LMod1_Str,left_perirhinal_area_36_left_LMod1_Str
36,133,55,-3.69230790436268,7.13197684288025,1.88362058997154,-6.634,left Dorso Lateral Orbital Cortex_left,left_dorso_lateral_orbital_cortex_left,LMod1_Str,left_dorso_lateral_orbital_cortex_left_LMod1_Str
81,71,35,3.69230771064758,-3.03313910961151,-1.39224144816399,-6.319,right Dentate Gyrus,right_dentate_gyrus,LMod1_Str,right_dentate_gyrus_LMod1_Str
60,75,60,0.246153756976128,-2.37732517719269,2.70258609950542,-6.246,left Subiculum_left,left_subiculum_left,LMod1_Str,left_subiculum_left_LMod1_Str
79,134,53,3.36410257220268,7.29593032598495,1.55603438615799,-6.207,right Dorso Lateral Orbital Cortex,right_dorso_lateral_orbital_cortex,LMod1_Str,right_dorso_lateral_orbital_cortex_LMod1_Str
57,158,55,-0.246153950691223,11.2308139204979,1.88362058997154,-5.305,left Glomerular Layer of the Olfactory Bulb_left,left_glomerular_layer_of_the_olfactory_bulb_left_2,LMod1_Str,left_glomerular_layer_of_the_olfactory_bulb_left_2_LMod1_Str
58,110,71,-0.0820513814687729,3.36104673147202,4.50431022047997,-5.115,left Primary Cingular Cortex_left,left_primary_cingular_cortex_left,LMod1_Str,left_primary_cingular_cortex_left_LMod1_Str
50,25,68,-1.39487193524837,-10.574999332428,4.01293091475964,-4.971,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left,LMod1_Str,left_molecular_layer_of_the_cerebellum_left_LMod1_Str
63,100,26,0.738461464643478,1.72151190042496,-2.86637936532497,-4.547,right Hypothalamic Region,right_hypothalamic_region,LMod1_Str,right_hypothalamic_region_LMod1_Str
79,27,66,3.36410257220268,-10.2470923662186,3.68534471094608,-4.454,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum,LMod1_Str,right_molecular_layer_of_the_cerebellum_LMod1_Str
32,30,38,-4.34871818125248,-9.75523191690445,-0.900862142443657,-4.178,left Granule Cell Level of the Cerebellum_left,left_granule_cell_level_of_the_cerebellum_left_2,LMod1_Str,left_granule_cell_level_of_the_cerebellum_left_2_LMod1_Str
87,33,36,4.67692312598228,-9.26337146759033,-1.22844834625721,-3.933,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_2,LMod1_Str,right_molecular_layer_of_the_cerebellum_2_LMod1_Str
49,79,28,-1.55897450447083,-1.72151124477386,-2.53879316151142,-3.931,left Hypothalamic Region_left,left_hypothalamic_region_left,LMod1_Str,left_hypothalamic_region_left_LMod1_Str
102,103,41,7.13846166431904,2.21337234973907,-0.409482836723328,-3.029,right Dysgranular Insular Cortex,right_dysgranular_insular_cortex_2,LMod1_Str,right_dysgranular_insular_cortex_2_LMod1_Str
28,99,47,-5.00512845814228,1.55755841732025,0.573275774717331,-2.977,left Dysgranular Insular Cortex_left,left_dysgranular_insular_cortex_left,LMod1_Str,left_dysgranular_insular_cortex_left_LMod1_Str
57,135,68,-0.246153950691223,7.45988380908966,4.01293091475964,-2.855,left Frontal Association Cortex_left,left_frontal_association_cortex_left,LMod1_Str,left_frontal_association_cortex_left_LMod1_Str
67,151,54,1.39487174153328,10.083139538765,1.71982748806477,6.198,right Olfactory Bulb,right_olfactory_bulb,LMod6_Str,right_olfactory_bulb_LMod6_Str
46,103,72,-2.05128221213818,2.21337234973907,4.66810332238674,5.605,left Primary Motor Cortex_left,left_primary_motor_cortex_left,LMod6_Str,left_primary_motor_cortex_left_LMod6_Str
25,88,43,-5.49743616580963,-0.245929896831512,-0.0818966329097748,5.546,left Posterior Agralunar Insular Cortex_left,left_posterior_agralunar_insular_cortex_left,LMod6_Str,left_posterior_agralunar_insular_cortex_left_LMod6_Str
69,65,73,1.72307687997818,-4.01686000823975,4.83189642429352,5.397,right Retosplenial Dysgranular Cortex,right_retosplenial_dysgranular_cortex,LMod6_Str,right_retosplenial_dysgranular_cortex_LMod6_Str
91,113,47,5.33333340287209,3.85290718078613,0.573275774717331,5.189,right Dysgranular Insular Cortex,right_dysgranular_insular_cortex,LMod6_Str,right_dysgranular_insular_cortex_LMod6_Str
30,53,57,-4.67692331969738,-5.98430180549622,2.2112067937851,4.964,left Retosplenial Dysgranular Cortex_left,left_retosplenial_dysgranular_cortex_left,LMod6_Str,left_retosplenial_dysgranular_cortex_left_LMod6_Str
70,117,68,1.88717944920063,4.50872111320496,4.01293091475964,4.526,right Primary Motor Cortex,right_primary_motor_cortex,LMod6_Str,right_primary_motor_cortex_LMod6_Str
42,121,49,-2.70769248902798,5.16453504562378,0.900861978530884,4.146,left PreLimbic System_left,left_pre_limbic_system_left,LMod6_Str,left_pre_limbic_system_left_LMod6_Str
80,86,62,3.52820514142513,-0.573836863040924,3.03017230331898,4.029,right Cornu Ammonis 3,right_cornu_ammonis_3,LMod6_Str,right_cornu_ammonis_3_LMod6_Str
27,36,31,-5.16923102736473,-8.77151101827621,-2.04741385579109,3.868,left Granule Cell Level of the Cerebellum_left,left_granule_cell_level_of_the_cerebellum_left,LMod6_Str,left_granule_cell_level_of_the_cerebellum_left_LMod6_Str
92,94,31,5.49743597209454,0.737791001796722,-2.04741385579109,3.715,right Entorhinal Cortex,right_entorhinal_cortex,LMod6_Str,right_entorhinal_cortex_LMod6_Str
51,169,61,-1.23076936602592,13.0343022346497,2.8663792014122,3.556,left Glomerular Layer of the Olfactory Bulb_left,left_glomerular_layer_of_the_olfactory_bulb_left,LMod6_Str,left_glomerular_layer_of_the_olfactory_bulb_left_LMod6_Str
91,36,52,5.33333340287209,-8.77151101827621,1.39224128425121,3.34,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum,LMod6_Str,right_molecular_layer_of_the_cerebellum_LMod6_Str
57,86,18,-0.246153950691223,-0.573836863040924,-4.17672418057919,3.301,left Hypothalamic Region_left,left_hypothalamic_region_left,LMod6_Str,left_hypothalamic_region_left_LMod6_Str
61,47,54,0.410256326198578,-6.96802270412445,1.71982748806477,2.91,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left,LMod6_Str,left_molecular_layer_of_the_cerebellum_left_LMod6_Str
