RID,Group,Sex,Batch,Time_seg,Place,Stage,Time
sub-156,Alc+Str,female,B8,678,White,T2,Test
sub-157,Alc+Str,female,B8,428.93,Dark,T2,Test
sub-157,Alc+Str,female,B8,300.69,White,T2,Test
sub-158,Str,female,B8,NA,Dark,T2,Test
sub-158,Str,female,B8,NA,White,T2,Test
sub-159,Alc+Str,female,B8,499.2,Dark,T2,Test
sub-159,Alc+Str,female,B8,610.8,White,T2,Test
sub-160,Alc+Str,female,B8,NA,Dark,T2,Test
sub-160,Alc+Str,female,B8,NA,White,T2,Test
sub-161,Alc+Str,female,B8,605.55,Dark,T2,Test
sub-161,Alc+Str,female,B8,738.15,White,T2,Test
sub-162,Alc+Str,female,B8,400.8,Dark,T2,Test
sub-162,Alc+Str,female,B8,867.6,White,T2,Test
sub-164,Alc+Str,female,B8,NA,Dark,T2,Test
sub-164,Alc+Str,female,B8,NA,White,T2,Test
sub-166,Alc+Str,female,B8,631.98,Dark,T2,Test
sub-166,Alc+Str,female,B8,384.94,White,T2,Test
sub-167,Alc+Str,female,B8,754.44,Dark,T2,Test
sub-167,Alc+Str,female,B8,481.26,White,T2,Test
sub-168,Alc+Str,male,B8,127.33,Dark,T2,Test
sub-168,Alc+Str,male,B8,135.95,White,T2,Test
sub-169,Str,male,B8,487.82,Dark,T2,Test
sub-169,Str,male,B8,484.98,White,T2,Test
sub-170,Alc+Str,male,B8,489.6,Dark,T2,Test
sub-170,Alc+Str,male,B8,403.2,White,T2,Test
sub-172,Alc+Str,male,B8,679.46,Dark,T2,Test
sub-172,Alc+Str,male,B8,365.18,White,T2,Test
sub-173,Alc+Str,male,B8,NA,Dark,T2,Test
sub-173,Alc+Str,male,B8,NA,White,T2,Test
sub-174,Alc+Str,male,B8,664.53,Dark,T2,Test
sub-174,Alc+Str,male,B8,387.84,White,T2,Test
sub-175,Str,male,B8,259.2,Dark,T2,Test
sub-175,Str,male,B8,402,White,T2,Test
sub-176,Alc+Str,male,B8,NA,Dark,T2,Test
sub-176,Alc+Str,male,B8,NA,White,T2,Test
sub-177,Alc+Str,male,B8,864.87,Dark,T2,Test
sub-177,Alc+Str,male,B8,433.14,White,T2,Test
