Date,RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
24/05/2023,177,Alc+Str,male,48,3,2,0.19,EtOH,30_mins,116,123,Model,8
24/05/2023,156,Alc+Str,female,48,4,2,0.17,EtOH,24_hrs,113,105,Model,8
24/05/2023,157,Alc+Str,female,48,4,2,0.177,EtOH,24_hrs,118,101,Model,8
24/05/2023,158,Str,female,48,4,2,0.179,EtOH,24_hrs,95,123,Model,8
24/05/2023,159,Alc+Str,female,48,4,2,0.15,EtOH,24_hrs,118,102,Model,8
24/05/2023,160,Alc+Str,female,48,4,2,0.14,EtOH,24_hrs,117,97,Model,8
24/05/2023,161,Alc+Str,female,48,4,2,0.168,EtOH,24_hrs,121,111,Model,8
24/05/2023,162,Alc+Str,female,48,4,2,0.157,EtOH,24_hrs,109,124,Model,8
24/05/2023,164,Alc+Str,female,48,4,2,0.188,EtOH,24_hrs,110,110,Model,8
24/05/2023,166,Alc+Str,female,48,4,2,0.16,EtOH,24_hrs,116,99,Model,8
24/05/2023,167,Alc+Str,female,48,4,2,0.157,EtOH,24_hrs,111,109,Model,8
24/05/2023,168,Alc+Str,male,48,4,2,0.24,EtOH,24_hrs,108,110,Model,8
24/05/2023,169,Str,male,48,4,2,0.199,EtOH,24_hrs,122,90,Model,8
24/05/2023,170,Alc+Str,male,48,4,2,0.223,EtOH,24_hrs,109,123,Model,8
24/05/2023,172,Alc+Str,male,48,4,2,0.218,EtOH,24_hrs,117,94,Model,8
24/05/2023,173,Alc+Str,male,48,4,2,0.168,EtOH,24_hrs,106,126,Model,8
24/05/2023,174,Alc+Str,male,48,4,2,0.206,EtOH,24_hrs,102,127,Model,8
24/05/2023,175,Str,male,48,4,2,0.19,EtOH,24_hrs,120,109,Model,8
24/05/2023,176,Alc+Str,male,48,4,2,0.198,EtOH,24_hrs,120,83,Model,8
24/05/2023,177,Alc+Str,male,48,4,2,0.19,EtOH,24_hrs,116,123,Model,8
25/05/2023,156,Alc+Str,female,49,4,2,0.18,H2O,start,124,123,Model,8
25/05/2023,157,Alc+Str,female,49,4,2,0.176,H2O,start,121,125,Model,8
25/05/2023,158,Str,female,49,4,2,0.18,H2O,start,124,122,Model,8
25/05/2023,159,Alc+Str,female,49,4,2,0.154,H2O,start,124,126,Model,8
25/05/2023,160,Alc+Str,female,49,4,2,0.141,H2O,start,122,122,Model,8
25/05/2023,161,Alc+Str,female,49,4,2,0.163,H2O,start,125,124,Model,8
25/05/2023,162,Alc+Str,female,49,4,2,0.153,H2O,start,122,124,Model,8
25/05/2023,164,Alc+Str,female,49,4,2,0.182,H2O,start,122,125,Model,8
25/05/2023,166,Alc+Str,female,49,4,2,0.167,H2O,start,124,122,Model,8
25/05/2023,167,Alc+Str,female,49,4,2,0.16,H2O,start,122,124,Model,8
25/05/2023,168,Alc+Str,male,49,4,2,0.247,H2O,start,125,124,Model,8
25/05/2023,169,Str,male,49,4,2,0.2,H2O,start,129,122,Model,8
25/05/2023,170,Alc+Str,male,49,4,2,0.224,H2O,start,124,124,Model,8
25/05/2023,172,Alc+Str,male,49,4,2,0.226,H2O,start,122,125,Model,8
25/05/2023,173,Alc+Str,male,49,4,2,0.17,H2O,start,123,120,Model,8
25/05/2023,174,Alc+Str,male,49,4,2,0.214,H2O,start,121,124,Model,8
25/05/2023,175,Str,male,49,4,2,0.197,H2O,start,126,123,Model,8
25/05/2023,176,Alc+Str,male,49,4,2,0.197,H2O,start,125,124,Model,8
25/05/2023,177,Alc+Str,male,49,4,2,0.174,H2O,start,126,121,Model,8
25/05/2023,156,Alc+Str,female,49,5,2,0.18,H2O,24_hrs,124,94,Model,8
25/05/2023,157,Alc+Str,female,49,5,2,0.176,H2O,24_hrs,121,99,Model,8
25/05/2023,158,Str,female,49,5,2,0.18,H2O,24_hrs,122,101,Model,8
25/05/2023,159,Alc+Str,female,49,5,2,0.154,H2O,24_hrs,125,90,Model,8
25/05/2023,160,Alc+Str,female,49,5,2,0.141,H2O,24_hrs,118,105,Model,8
25/05/2023,161,Alc+Str,female,49,5,2,0.163,H2O,24_hrs,111,122,Model,8
25/05/2023,162,Alc+Str,female,49,5,2,0.153,H2O,24_hrs,121,122,Model,8
25/05/2023,164,Alc+Str,female,49,5,2,0.182,H2O,24_hrs,117,91,Model,8
25/05/2023,166,Alc+Str,female,49,5,2,0.167,H2O,24_hrs,122,103,Model,8
25/05/2023,167,Alc+Str,female,49,5,2,0.16,H2O,24_hrs,92,121,Model,8
25/05/2023,168,Alc+Str,male,49,5,2,0.247,H2O,24_hrs,122,89,Model,8
25/05/2023,169,Str,male,49,5,2,0.2,H2O,24_hrs,95,123,Model,8
25/05/2023,170,Alc+Str,male,49,5,2,0.224,H2O,24_hrs,90,116,Model,8
25/05/2023,172,Alc+Str,male,49,5,2,0.226,H2O,24_hrs,119,96,Model,8
25/05/2023,173,Alc+Str,male,49,5,2,0.17,H2O,24_hrs,124,120,Model,8
25/05/2023,174,Alc+Str,male,49,5,2,0.214,H2O,24_hrs,119,82,Model,8
25/05/2023,175,Str,male,49,5,2,0.197,H2O,24_hrs,101,121,Model,8
25/05/2023,176,Alc+Str,male,49,5,2,0.197,H2O,24_hrs,120,91,Model,8
25/05/2023,177,Alc+Str,male,49,5,2,0.174,H2O,24_hrs,78,119,Model,8
26/05/2023,156,Alc+Str,female,50,5,3,0.181,EtOH,start,121,125,Model,8
26/05/2023,157,Alc+Str,female,50,5,3,0.173,EtOH,start,123,125,Model,8
26/05/2023,158,Str,female,50,5,3,0.178,EtOH,start,123,126,Model,8
26/05/2023,159,Alc+Str,female,50,5,3,0.156,EtOH,start,123,126,Model,8
26/05/2023,160,Alc+Str,female,50,5,3,0.143,EtOH,start,123,128,Model,8
26/05/2023,161,Alc+Str,female,50,5,3,0.158,EtOH,start,121,130,Model,8
26/05/2023,162,Alc+Str,female,50,5,3,0.142,EtOH,start,123,126,Model,8
26/05/2023,164,Alc+Str,female,50,5,3,0.172,EtOH,start,123,126,Model,8
26/05/2023,166,Alc+Str,female,50,5,3,0.166,EtOH,start,120,125,Model,8
26/05/2023,167,Alc+Str,female,50,5,3,0.166,EtOH,start,118,119,Model,8
26/05/2023,168,Alc+Str,male,50,5,3,0.264,EtOH,start,122,127,Model,8
26/05/2023,169,Str,male,50,5,3,0.215,EtOH,start,126,125,Model,8
26/05/2023,170,Alc+Str,male,50,5,3,0.236,EtOH,start,121,127,Model,8
26/05/2023,172,Alc+Str,male,50,5,3,0.231,EtOH,start,123,123,Model,8
26/05/2023,173,Alc+Str,male,50,5,3,0.154,EtOH,start,122,133,Model,8
26/05/2023,174,Alc+Str,male,50,5,3,0.218,EtOH,start,121,128,Model,8
26/05/2023,175,Str,male,50,5,3,0.2,EtOH,start,127,126,Model,8
26/05/2023,176,Alc+Str,male,50,5,3,0.212,EtOH,start,122,122,Model,8
26/05/2023,177,Alc+Str,male,50,5,3,0.207,EtOH,start,122,126,Model,8
26/05/2023,156,Alc+Str,female,50,5,3,0.181,EtOH,30_mins,121,126,Model,8
26/05/2023,157,Alc+Str,female,50,5,3,0.173,EtOH,30_mins,124,125,Model,8
26/05/2023,158,Str,female,50,5,3,0.178,EtOH,30_mins,120,125,Model,8
26/05/2023,159,Alc+Str,female,50,5,3,0.156,EtOH,30_mins,120,125,Model,8
26/05/2023,160,Alc+Str,female,50,5,3,0.143,EtOH,30_mins,122,126,Model,8
26/05/2023,161,Alc+Str,female,50,5,3,0.158,EtOH,30_mins,120,130,Model,8
26/05/2023,162,Alc+Str,female,50,5,3,0.142,EtOH,30_mins,121,125,Model,8
26/05/2023,164,Alc+Str,female,50,5,3,0.172,EtOH,30_mins,121,126,Model,8
26/05/2023,166,Alc+Str,female,50,5,3,0.166,EtOH,30_mins,115,124,Model,8
26/05/2023,167,Alc+Str,female,50,5,3,0.166,EtOH,30_mins,117,118,Model,8
26/05/2023,168,Alc+Str,male,50,5,3,0.264,EtOH,30_mins,127,116,Model,8
26/05/2023,169,Str,male,50,5,3,0.215,EtOH,30_mins,104,125,Model,8
26/05/2023,170,Alc+Str,male,50,5,3,0.236,EtOH,30_mins,121,119,Model,8
26/05/2023,172,Alc+Str,male,50,5,3,0.231,EtOH,30_mins,122,119,Model,8
26/05/2023,173,Alc+Str,male,50,5,3,0.154,EtOH,30_mins,130,121,Model,8
26/05/2023,174,Alc+Str,male,50,5,3,0.218,EtOH,30_mins,117,119,Model,8
26/05/2023,175,Str,male,50,5,3,0.2,EtOH,30_mins,126,121,Model,8
26/05/2023,176,Alc+Str,male,50,5,3,0.212,EtOH,30_mins,120,113,Model,8
26/05/2023,177,Alc+Str,male,50,5,3,0.207,EtOH,30_mins,120,124,Model,8
