RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
106,Ctrl,male,48,3,2,0.231,EtOH,24_hrs,120,92,Model,6
107,Alc,male,48,3,2,0.204,EtOH,24_hrs,114,103,Model,6
109,Ctrl,male,48,3,2,0.237,EtOH,24_hrs,92,119,Model,6
110,Alc,male,48,3,2,0.202,EtOH,24_hrs,121,93,Model,6
88,Alc,female,49,4,2,0.151,H2O,start,123,125,Model,6
89,Ctrl,female,49,4,2,0.179,H2O,start,121,123,Model,6
90,Ctrl,female,49,4,2,0.166,H2O,start,123,126,Model,6
92,Ctrl,female,49,4,2,0.168,H2O,start,125,127,Model,6
93,Ctrl,female,49,4,2,0.17,H2O,start,125,124,Model,6
94,Alc,female,49,4,2,0.176,H2O,start,125,122,Model,6
97,Alc,female,49,4,2,0.133,H2O,start,122,122,Model,6
99,Alc,female,49,4,2,0.207,H2O,start,124,121,Model,6
101,Alc,male,49,4,2,0.265,H2O,start,122,121,Model,6
102,Ctrl,male,49,4,2,0.207,H2O,start,122,121,Model,6
103,Alc,male,49,4,2,0.247,H2O,start,125,120,Model,6
105,Ctrl,male,49,4,2,0.247,H2O,start,125,123,Model,6
106,Ctrl,male,49,4,2,0.235,H2O,start,125,126,Model,6
107,Alc,male,49,4,2,0.211,H2O,start,124,123,Model,6
109,Ctrl,male,49,4,2,0.236,H2O,start,122,124,Model,6
110,Alc,male,49,4,2,0.22,H2O,start,119,123,Model,6
88,Alc,female,49,4,2,0.151,H2O,24_hrs,92,123,Model,6
89,Ctrl,female,49,4,2,0.179,H2O,24_hrs,97,122,Model,6
90,Ctrl,female,49,4,2,0.166,H2O,24_hrs,120,78,Model,6
92,Ctrl,female,49,4,2,0.168,H2O,24_hrs,121,126,Model,6
93,Ctrl,female,49,4,2,0.17,H2O,24_hrs,112,105,Model,6
94,Alc,female,49,4,2,0.176,H2O,24_hrs,118,102,Model,6
97,Alc,female,49,4,2,0.133,H2O,24_hrs,120,118,Model,6
99,Alc,female,49,4,2,0.207,H2O,24_hrs,118,105,Model,6
101,Alc,male,49,4,2,0.265,H2O,24_hrs,61,118,Model,6
102,Ctrl,male,49,4,2,0.207,H2O,24_hrs,99,112,Model,6
103,Alc,male,49,4,2,0.247,H2O,24_hrs,85,116,Model,6
105,Ctrl,male,49,4,2,0.247,H2O,24_hrs,123,63,Model,6
106,Ctrl,male,49,4,2,0.235,H2O,24_hrs,112,100,Model,6
107,Alc,male,49,4,2,0.211,H2O,24_hrs,83,122,Model,6
109,Ctrl,male,49,4,2,0.236,H2O,24_hrs,119,83,Model,6
110,Alc,male,49,4,2,0.22,H2O,24_hrs,64,121,Model,6
88,Alc,female,50,5,3,0.175,EtOH,start,122,117,Model,6
89,Ctrl,female,50,5,3,0.184,EtOH,start,125,118,Model,6
90,Ctrl,female,50,5,3,0.172,EtOH,start,116,119,Model,6
92,Ctrl,female,50,5,3,0.173,EtOH,start,118,128,Model,6
93,Ctrl,female,50,5,3,0.173,EtOH,start,121,120,Model,6
94,Alc,female,50,5,3,0.179,EtOH,start,119,126,Model,6
97,Alc,female,50,5,3,0.129,EtOH,start,119,119,Model,6
99,Alc,female,50,5,3,0.208,EtOH,start,121,123,Model,6
101,Alc,male,50,5,3,0.269,EtOH,start,121,118,Model,6
102,Ctrl,male,50,5,3,0.218,EtOH,start,119,123,Model,6
103,Alc,male,50,5,3,0.251,EtOH,start,121,121,Model,6
105,Ctrl,male,50,5,3,0.257,EtOH,start,117,117,Model,6
106,Ctrl,male,50,5,3,0.238,EtOH,start,120,116,Model,6
107,Alc,male,50,5,3,0.22,EtOH,start,122,120,Model,6
109,Ctrl,male,50,5,3,0.247,EtOH,start,117,117,Model,6
110,Alc,male,50,5,3,0.221,EtOH,start,120,115,Model,6
88,Alc,female,50,5,3,0.175,EtOH,30_mins,122,113,Model,6
89,Ctrl,female,50,5,3,0.184,EtOH,30_mins,124,118,Model,6
90,Ctrl,female,50,5,3,0.172,EtOH,30_mins,115,118,Model,6
92,Ctrl,female,50,5,3,0.173,EtOH,30_mins,104,127,Model,6
93,Ctrl,female,50,5,3,0.173,EtOH,30_mins,119,119,Model,6
94,Alc,female,50,5,3,0.179,EtOH,30_mins,119,126,Model,6
97,Alc,female,50,5,3,0.129,EtOH,30_mins,117,118,Model,6
